name,artist,from_date,to_date,location,description,borough,lat,lng,active
La Dama,Manolo Valdes,2002-04-01,2002-06-30,57th Street,"This impressive work by Manolo Valdes 
                                      is a reinterpretation of the ancient Iberian sculpture 
                                    <em>La Dama de Elche</em>, 
                                      and measures 10 feet in height, 7 3/4 feet in width, 
                                    and over 6 1/2 feet in depth.<br><br><em>La Dama</em>
                                    had its public debut in Paris in the Spring of 2001, 
                                    where it was included in the exhibition ""Fifty 
                                    Years of Spanish Sculpture"" in the Gardens of 
                                    the Palais Royal, which later traveled to Madrid. 
                                    The artist is particularly pleased to bring his work 
                                    to the general public here, as he has adopted New 
                                    York as his home and workplace since 1988.<br><br><em>La Dama</em>
                                    is a contemporary work that speaks loudly of the great 
                                    history of Spanish art and culture. It is based on 
                                    a well-known polychrome stone Iberian work believed 
                                    to date from 500-300 B.C. Deeply inspired by the Iberian 
                                    treasure, Valdes has transformed the iconic 
                                    formal elements of the ancient work &ndash; a bust 
                                    of a woman with a very complex headdress of ornate 
                                    coils on either side of her face &ndash; into the medium 
                                    and forms of contemporary sculpture. The striking 
                                    simplicity and geometric symmetry of Valdes' 
                                    sculpture display a modern conception of aesthetic 
                                    beauty while still conveying the elegance and majesty 
                                    of the subject.",M,,,1
2002 Whitney Biennial Art in Parks,Various Artists,2002-03-07,2002-05-26,,"Parks, the Central Park Conservancy, and the Public Art Fund hosted the outdoor component of the 2002 Whitney Biennial. Works by five of the 113 artists selected for inclusion in the 2002 biennial were displayed in Central Park. Artists included are Keith Edmier, Kim Sooja, Roxy Paine, Kiki Smith, and Brian Tolle.",M,,,1
Baroque Trajectory (Steel),Michael Poast,2001-07-01,2002-07-31,"Trinity Place, Greenwich Street & Morris Street","Sculptor Michael Poast chose the title of this sculpture to
reference his inspiration, Italian Baroque Sculptor Giovanni Lorenzo
Bernini, and to describe the trajectory that is the extension of the
lines that Poast articulates in welded steel.<br><br>This
installation is part of Poast's Color Music series in which he
represents music in physical space. Using the visual qualities of color
and shape as a form of musical notation and the sculpture itself as an
instrument, Poast explains that ""the system is based on the idea that
color sensations can trigger correlations to musical sound in a
performer who is sensitive to visual experience. By combining visual
and aural stimuli, the system and its use can result in an extremely
powerful form of expression.""",M,,,1
Ladies of Steel,Judith Peck,2001-07-01,2002-02-28,Second Avenue and 47th Street,"<span style=""font-style: italic;"">Seated Woman</span>, pictured here, is one 
                                      of the three Ladies of Steel by sculptor Judith Peck 
                                      on view at Dag Hammarskjold Plaza. These abstract 
                                      female forms, descriptively titled, <span style=""font-style: italic;"">Seated Woman - 
                                      Red</span>, <span style=""font-style: italic;"">Falling Woman</span>, and <span style=""font-style: italic;"">Reclining Woman - Black, Red 
                                      and Yellow</span>, will on display at the plaza until February 
                                      2002. Judith Peck cut, bent, welded, and painted sheets 
                                      of steel to bring form to the Ladies who range in 
                                    lengths from 6 to 8 feet.",M,,,1
The Sphere,Fritz Koenig,2002-03-11,2010-10-01,,"Fritz Koenig's <em>The Sphere</em>, a 45,000 pound sculpture made of steel 
                            and bronze, adorned the fountain at the World Trade 
                            Center's Tobin Plaza from 1971 to September 11, 2001. 
                            Bent and damaged, but still recognizable, the sculpture 
                            has been relocated to Battery Park, where it stands 
                            as a powerful temporary memorial commemorating the 
                            lives of those lost in the World Trade Center attack 
                            and in the 1993 World Trade Center bombing. On September 
                            11, 2002, a dedication was held to officially recognize 
                            the artwork as an interim memorial and to light an 
                            eternal flame in memory of those lost.<br><br><span style=""font-style: italic;"">The Sphere</span> is on long-term loan from the Port Authority of New York and New Jersey.<br><br><a href=""/sub_newsroom/media_advisories/media_advisories.php&Alpha;id=14978"">Media Advisory</a><span></span><br>",M,,,1
SURF'S UP,Esther A. Grillo,2000-03-01,2000-05-31,108th Street on Shore Front Parkway,"Esther Grillo's detailed piece showcases nine photorealistic figures
set in an expressionistic surf. The 74' x 12' mural can be seen 24
hours a day at Beach 108th Street on Shore Front Parkway, Rockaway, NY.
This project was funded by the City Parks Foundation Grant, the
Rockaway Artist's Alliance Apprenticeship Program, Beach Channel High
School students and S.H.A.F.T.",Q,,,1
Socrates Sculpture Park EAF 2009,,2009-09-13,2010-03-08,Socrates Sculpture Park,"&#8203;Socrates Sculpture Park&rsquo;s annual emerging artist exhibition is the fruit of the fellowship program, in which up-and-coming artists make outdoor sculpture, many of them for their first time, with the assistance of Socrates staff. This year&rsquo;s highlights include a pile of cakes by Aaron King and a &ldquo;Master Station&rdquo; subway entrance by Brina Thurston. The full list of artists includes: David Brooks, Pilar Conde, Zack Davis, Christian de Vietri, Aaron King, Zak Kitnick, Lynn Koble, Tamara Kostianovsky, Mads Lynnerup, Wyatt Nash, Navin June Norling, Andrea Stanislav, Brina Thurston, Kon Trubkovich, Lan Tuazon, and Erik &amp; Ninh Vysocan.&nbsp; <br>",Q,,,1
Birth of a City,City Lore,2009-09-01,2010-03-10,,"On September 4, 400 years to the month from when Henry Hudson and some 20 seamen sailed their ship the Halve Maen (Half Moon) into New York Harbor, City Lore and NY 400 opened <span style=""font-style: italic;"">Birth of a City: Nieuw Amsterdam and Old New York</span>, celebrating the city&rsquo;s colonial Dutch heritage with illustrated signs throughout lower Manhattan. A stencil on the sidewalk maps out the historic waterline, and demonstrates how the village of Nieuw Amsterdam was nestled within what is now the bustling Lower Manhattan cityscape.&nbsp; An informal stroll along the marked pathway of <span style=""font-style: italic;"">Birth of a City</span> shows how Dutch traditions of commerce, government, religious tolerance, and ethnic diversity helped shape the rise of New York and the United States.<br><br>Two of the twelve signs in the tour are in city parks, at Bowling Green and City Hall.<br>",M,,,1
Mel Kendrick,,2009-09-17,2010-02-15,,"In this exhibition, a new series of five large-scale, striated cast stone sculptures by New York-based sculptor Mel Kendrick run down the center of Madison Square Park&rsquo;s oval lawn.&nbsp; Kendrick&rsquo;s abstract sculptures are cast in black and white stone from molds carved from EPS foam. This series of new works constitute a significant evolution in the oeuvre of a sculptor who has been exhibiting his work to critical acclaim since the mid-1970s. While they continue to reflect Kendrick&rsquo;s career-long focus on the creative process and investigation of the relationship between materials and form, these bold and imposing new works (standing nearly 12&rsquo; tall) will be among his largest, as well as some rare works in cast stone from an artist renowned for his use of wood. This is a project of the Madison Square Park Conservancy. <br>",M,,,1
Carole Eisner on Broadway,,2009-09-08,2010-04-23,"Broadway, various locations","This exhibition of nine sculptures by Carole Eisner has been organized by the Broadway Mall Association in conjunction with the Parks Department and Susan Eley Fine Art. The display starts to the south with the whimsical &ldquo;Walter&rdquo; at Dante Park, located within the Lincoln Square Business Improvement District, and continues north along seven malls maintained by the BMA, culminating with Eisner&rsquo;s most recent work &ldquo;Swizzle&rdquo; at Mitchel Park. At each location viewers can hear the artist discuss her work by calling a special number with their cell phones.<br><br>Specific works and locations include:<br><span style=""font-style: italic;"">Swizzle</span>, Mitchel Square, Broadway at 166th Street <br><span style=""font-style: italic;"">Giunta</span>, Broadway Mall at 145-146 Streets <br><span style=""font-style: italic;"">Circus</span>, Montefiore Square, 137th Street <br><span style=""font-style: italic;"">Dogon</span>, Broadway Mall at 113-114 Streets <br><span style=""font-style: italic;"">Puzzle</span>, Broadway Mall at 91-92 Streets <br><span style=""font-style: italic;"">Ziggurat</span>, Broadway Mall at 83-84 Streets<br><span style=""font-style: italic;"">Torque,</span> Broadway Mall at 75-76 Streets <br><span style=""font-style: italic;"">Dali&rsquo;s Mustache</span>, Broadway Mall at 67th Street<br><span style=""font-style: italic;"">Walter</span>, Dante Park, Broadway at 64th Street<br>",M,,,1
Les Lalanne on Park Avenue,,2009-09-12,2009-11-20,"Park Avenue, between 52nd and 57th Streets","Parks&rsquo; public art program, in conjunction with Paul Kasmin Gallery, and in cooperation with the Fund for Park Avenue Sculpture Committee, presents the first-ever large-scale outdoor exhibition in the U.S. of Claude &amp; Francois-Xavier Lalanne&rsquo;s sculptures. Seven sculptures and a single work comprised of 12 individual sculptures span multiple sites on Park Avenue between 52nd and 57th streets. <br><br>Featured works include <span style=""font-style: italic;"">Pomme de New York</span> by Claude Lalanne (b.1924), a large-scale bronze sculpture of an apple, epitomizing the monumentality of the city&rsquo;s iconic image (located on the North side of 52nd Street), and Francois-Xavier Lalanne&rsquo;s (1927&ndash;2008) last sculpture, <span style=""font-style: italic;"">Singe Avise (Tres Grand)</span>, a cross-legged monkey with a pensive expression (located on the North side of 57th Street).<br><br>Having rediscovered the Renaissance art of casting forms from life, then employing contemporary electro-plating techniques, Claude Lalanne achieves a delicacy and sensitivity in her work unparalleled in cast bronze. Francois-Xavier Lalanne similarly found inspiration for his works in nature. In his words, ""The animal world constitutes the richest and most varied forms on the planet."" His subjects consist of stylized forms of animals, their profound simplicity achieving streamlined elegance.<br><br>The Lalanne&rsquo;s work, known individually and collectively since the 1960s, has been exhibited extensively in important exhibitions, and most recently, featured prominently in the sale of the collection of Yves Saint Laurent, at Christie&rsquo;s.",M,,,1
Untitled (Sculpture Silhouettes),Peter Coffin,2009-10-01,2010-05-06,,"Populating City Hall Park with monumental silhouettes of iconic sculptures, Peter Coffin&rsquo;s <span style=""font-style: italic;"">Untitled (Sculpture Silhouettes)</span> installation takes the viewer on a journey through the history of sculpture in space and time. Allusions to Auguste Rodin&rsquo;s <span style=""font-style: italic;"">The Thinker</span>, an Easter Island <span style=""font-style: italic;"">moai</span>, Louise Bourgeois&rsquo; <span style=""font-style: italic;"">Untitled (With Hand)</span>, one of Sol LeWitt&rsquo;s <span style=""font-style: italic;"">Incomplete Open Cubes</span>, and Pablo Picasso&rsquo;s <span style=""font-style: italic;"">She Goat</span>, among others, hover like apparitions throughout the Park. Ranging in size from eight to ten feet tall, their commanding sculptural presence is somewhat of an illusion; each work is only one inch thick. The sculptures slip in and out of view, similar to the way in which memories slip in and out of one&rsquo;s mind. The decision to hold the vision in place or let it fade is left to the viewer.<br><br>The <span style=""font-style: italic;"">Sculpture Silhouettes</span> refer to timeless icons drawn from the history of art. In transforming famous works of art into flattened silhouettes devoid of their original volume, Coffin engages the viewer to reflect and expand upon the existing associations each form&rsquo;s representation evokes. This idiosyncratic sculptural survey creates an environment in which variations on seminal sculptures are experienced in a new and unexpected context. Provoking an interplay of associations, the Sculpture Silhouettes prompt the viewer to project the present onto the past, suggesting that history is constantly being rewritten.<br><br>Peter Coffin&rsquo;s previous projects include constructing and flying a U.F.O. over the Baltic Sea and south&#8208;east coast of Brazil, transforming a greenhouse into a &ldquo;music for plants&rdquo; performance space, and designing an elaborate machine that transports a single helium balloon along what could be its own, perhaps wind&#8208;driven natural course. Playfully giving substance to the invisible and sometimes impossible, Coffin&rsquo;s work invokes art history, fringe and pseudo science, social psychology, and epistemology to explore interpretation and perception.<br><br>Peter Coffin was born in 1972 in Berkeley, California; he lives and works in New York City. He has had recent solo exhibitions at the Aspen Art Museum, Aspen (2009); Barbican Art Gallery, London (2009); CCA Wattis Institute for Contemporary Arts, San Francisco (2009); Centre d&#697;Art Contemporain, Fribourg, Switzerland (2008); Andrew Kreps Gallery, New York (2008); Palais de Tokyo, Paris (2007); Le Confort Moderne, Poitier, France (2007); Herald St., London (2007); The Horticultural Society of New York, New York (2007); Galerie Emmanuel Perrotin, Paris (2007); and has participated in recent group shows including Altermodern: Tate Triennial, Tate Britain, London (2009); Abstract America, Saatchi Gallery, London (2009), Untamed Paradises, MARCO, Museo de Arte Contemporanea de Vigo, Vigo, Spain (2008); and Learn to Read, Tate Modern, London (2007).<br><br>This is a project of the <a href=""http://www.publicartfund.org/"">Public Art Fund</a>.<br>",M,,,1
Madison Square Trapezoids,Bill Beirne,2009-10-13,2009-10-31,Madison Square Park,"In <i>Madison Square Trapezoids</i>, acclaimed performance and video artist Bill Beirne, in his role as The Vigilant Groundsman, turns the quotidian acts of horticultural maintenance and wildlife documentation into aesthetic actions by performing absurdist variations of these routines centered around specially-designated zones of artistic inquiry.&#8203;",M,,,1
Autumn on the Hudson Valley with Branches,Valerie Hegarty,2009-11-11,2010-11-01,"West 20th Street, northern perimeter fence","Autumn on the Hudson Valley with Branches imagines a nineteenth-century Hudson River School landscape painting that has been left outdoors, exposed to the elements.  The canvas is tattered and frayed, and its partially exposed stretcher bars appear to be morphing into tree branches, as if reverting to their natural state.  The painted portion of the work is based on Jasper Francis Cropsey's <span style=""font-style: italic;"">Autumn on the Hudson River</span> (1860), a bucolic landscape that shows none of the effects of the Industrial Revolution of its day.  Since the nineteenth century, the Hudson River has been associated with both Arcadian beauty and industrial development, despite the contradiction between the two.  Today, along Manhattan&rsquo;s Hudson River, one can view fading remnants of the waterfront as an active shipping port, as well as recent efforts to return it to a more &ldquo;natural&rdquo; state through the development of park areas and walking paths, including the High Line.  The focus of Hegarty&rsquo;s work is the collision of nature and culture, past and present.<br><br><br>This is a project of Friends of the High Line. For more information, visit Friends of the High Line's <a href=""http://www.thehighline.org/about/public-art/valerie-hegarty%20"">public art page</a>.",M,,,1
Unbridled Fractals,Tanja Smeets,2009-11-12,2009-12-13,Dyckman Farm House,"Tanja Smeets invades the historic Dyckman Farmhouse Museum and its grounds with her 
colorful organic, biomorphic sculptures to investigate the theme of roots and belonging. 
Dyckman Farmhouse was built by William Dyckman c. 1784 on land gathered by generations 
of Dyckmans, starting with the first family member to arrive in the 1660's. While Smeets 
considers these previous claims of ownership she treats the historic structure as a canvas to 
explore her ideas. Rather than 18th century goods, her sculptures use industrial materials, 
such as Lycra threads, plastic hoses, and concrete spacers.She develops hyperorganic shapes 
that can ooze through barriers, infiltrating and merging with the identity of the historic site. Her 
sculptural creatures challenge viewers to consider how and why they determine something or 
someone belongs. The farmhouse is an ideal setting for these explorations because it is itself 
an unexpected ""creature"" in its urban neighborhood. In her work at the Dyckman Farmhouse 
Tanja uses the concept of fractals, infinitely complex and irregular organic shapes that 
interweave with their environment.",M,,,1
Living Objects,Jason Krugman,2009-12-13,2010-01-30,McCarren Park,"This exhibition of three LED sculptures by Jason Krugman has been organized by the North Brooklyn Public Art Coalition in conjunction with the Parks Department and Open Space Alliance for North Brooklyn. Living Objects are beacons of light that are composed of hundreds of bulbs radiating through a translucent skin. Krugman&rsquo;s whimsical, enchanting sculptures greet passersby along Union Avenue and Driggs Avenue asking Brooklynites to participate in their cultural and public landscape.<br>",B,,,1
Ice Heart,Robert Moorhead and Granger Moorhead,2010-02-11,2010-02-14,"Times Square, 46th Street and Broadway","Moorhead &amp; Moorhead&rsquo;s &ldquo;Ice Heart&rdquo; won the invitational competition to build a Valentine in Times Square with the aid of the Time Square Alliance.&nbsp; Simultaneously architectural and natural, Ice Heart is a ten foot tall heart built of masonry-scaled blocks of ice. Ultimately a celebration of the temporary nature of the Valentine&rsquo;s installation, it will transform as it begins to melt, eventually disappearing completely. &ldquo;The Ice Heart will constantly change as it crystalline form picks up the lights, colors and chaos of the Times Square &ndash; we look forward to the kaleidoscopic effect, and think visitors will enjoy it as well,&rdquo; commented Granger Moorhead.&nbsp; <br><br>The Ice Heart will be installed in Times Square at 46th and Broadway on the morning on February 11th and be protected from melting until February 14th.&nbsp; After Valentine&rsquo;s Day, the sculpture will melt until it disappears. <br><br>",M,,,1
Ribbons of Memory,Jean-Pierre Rives,2010-02-16,2010-09-05,Dag Hammarskjold Plaza,"Jean Pierre Rives, born the 31st of December, 1952 in Saint
Simon, a suburb of Toulouse, France, revealed his passion for sculpture almost
three decades ago and rapidly imposed himself as an unparalleled sculptor in
the world of contemporary art. Well known for his world famous exploits as
Captain of the French Rugby team in the 70s, we now find the same irresistible
burst of strength in him as a sculptor and in his work. Jean Pierre Rives
sculpture &ldquo;Ribbons of Memory&rdquo;, is a construction of cut and bent welded steel
I-beams. He created this sculpture in honor of Dr. Martin Luther King Jr.<br><br><i>Ribbons of Memory</i>
is a collaborative project proposed by <a href=""http://www.dartagnan.com/"">D&rsquo;Artagnan,</a>
in cooperation with the NYC Department of Parks and Recreation and the Friends
of Dag Hammarskjold Plaza.",M,,,1
Event Horizon,Antony Gormley,2010-03-26,2010-08-15,,"&#8203;The Madison Square Park Conservancy will present Antony Gormley&rsquo;s Event Horizon, a landmark public art exhibition, as part of Mad. Sq. Art 2010.<br><br>In Event Horizon, thirty-one life-size body forms of the artist cast in iron and fiberglass will inhabit the pathways and sidewalks of historic Madison Square Park, as well as the rooftops of the many architectural treasures that populate New York&rsquo;s vibrant Flatiron District. Event Horizon marks Gormley&rsquo;s United States public art debut -- milestone for an artist whose work has garnered worldwide acclaim over the past 25 years.

<br><br>Antony Gormley originally created Event Horizon for London&rsquo;s Hayward Gallery as part of the Blind Light exhibition in 2007. The sculptures were installed on bridges, rooftops and streets along the South Bank of London&rsquo;s Thames River. In this New York incarnation, Antony Gormley has adapted this exciting project to Manhattan&rsquo;s unique and awe-inspiring skyline.",M,,,1
Surveillance,Ernie Gehr,2010-04-09,2010-05-14,,"&#8203;The four interrelated &ldquo;digital playgrounds&rdquo; that comprise Surveillance, a new four-channel high-definition video installation created in and about historic Madison Square Park by avant-garde filmmaker Ernie Gehr, take inspiration from two seemingly disparate sources. On the one hand a tribute to the lush environment, lively atmosphere and fundamentally recreational and replenishing character of public parks, Surveillance is also an acknowledgement and investigation of the proliferating presence of security cameras in public life; an attempt to poetically apply the aesthetic of surveillance in a manner that focuses the eyes and mind on the sensuous visual tableaux and fleeting moments of intimacy that make Madison Square Park such a treasured urban oasis.  Gehr&rsquo;s exhibition is located at the southern end of the Park.

<br><br>This is a project of the Madison Square Park Conservancy&rsquo;s Mad. Sq. Art Program. For more information visit their <a href=""http://www.madisonsquarepark.org"">website</a>.",M,,,1
Myrtle Avenue Bird Town,Daniel Goers and Jennifer Wong,2010-05-03,2010-12-10,Person Square and the NW corner of Fort Greene Park,"Goers and Wong will employ recycled materials and experimental building techniques to add flair to the micro-community of birdhouses.  As colorful and as energetic as the birds that inhabit them, this collection of birdhouses will be the stage for an ongoing performance as birds feed, nest, build, and care for offspring. This exhibition will attract and promote the public to observe their native avian neighbors and the ecological relationship between the birds and the urban environment.

 

<br><br>Throughout the duration of the exhibition, Goers and Wong will enact a number of educational workshops, including the South of the Navy Yards Artists stroll in May 2010, in and around the community that will teach children and adults about local bird species and environment awareness. Participants will be encouraged to build their own bird houses with supplies provided by the artists. The installation will also be regularly documented on the exhibition&rsquo;s <a href=""http://www.myrtleavenuebirdtown.com"">website</a>. The artists will provide information and images of the planning, fabrication, and installation, as well as chronicle the lives of the feathered inhabitants of Myrtle Avenue Bird Town.
<br><br>This is a project of the Myrtle Avenue Brooklyn Partnership. For more information on this exhibition please visit the Myrtle Avenue Bird Town website.",B,,,1
Viewing Station,Richard Galpin,2010-05-07,2011-05-01,"High Line, between 17th and 18th streets","Richard Galpin alters photographs of cityscapes. His chosen method of manipulation is to cut and remove the top layer of the colored emulsion from his photographic prints, exposing the paper substrate. By eradicating part of the photograph, its imagery becomes transformed to the point of total abstraction. Using clean lines and sharp angles, Galpin&rsquo;s technique emphasizes geometric forms, recalling early 20th century art movements such as Constructivism, Cubism, and Futurism. <br><br>For the High Line, Galpin has created a viewing station that functions similarly to his cut photographs. Park visitors are invited to look through the opening on top of the viewing post, which is lined up with a metal screen from which geometric shapes have been cut. The combination of these two devices abstracts the view of nearby buildings. <br><br>Through relatively simple means, the viewing station distorts optical perspective, making it difficult to judge spatial distance. Its isolation of fragmented areas encourages more acute observation of surface details, and subtleties of color and texture. The view looks more like a two-dimensional image &ndash; such as a photograph or painting &ndash; than three-dimensional space. <br><br>This project is presented by Friends of the High Line. For more information, visit Friends of the High Line's <a href=""http://www.thehighline.org/about/public-art"">public art page</a>.<br>",B,,,1
"Baritone, French Kiss, and Juggler",Mia Westerlund Roosen,2010-04-19,2010-08-28,Park Avenue Malls between 52nd and 54th Streets,"New York City&rsquo;s Department of Parks &amp; Recreation is pleased to announce an exhibition of new sculptures by Mia Westerlund Roosen on Park Avenue from April 19 through August 28, 2010.&nbsp; The current exhibition features three new works, Juggler, Baritone, and French Kiss on the Park Avenue Malls in the landscaped medians between 52nd Street and 54rd Street. <br><br>As a burgeoning artist working during the feminist movement, Westerlund Roosen used lead, encaustic, and textiles to study gender identity.&nbsp; As her practice matured, she embraced concrete stucco as her medium of choice, as it allows her to create hand-molded pieces that retain a sense of vulnerability despite their significant corporal mass.&nbsp; Her exhibition on Park Avenue continues her exploration of voluminous curves, palpable surfaces, and the sensual body, which she attributes to her continued fascination with dance.&nbsp; <br><br>This project is presented in collaboration with <a href=""http://www.bettycuninghamgallery.com/"">Betty Cuningham Gallery</a> and the <a href=""http://www.fundforparkavenue.org/"">Fund for Park Avenue Sculpture Committee</a>, with thanks to the <a href=""http://www.grandcentralpartnership.org/home.asp"">Grand Central Partnership</a>.<br>",M,,,1
A View from the Lunch Table: Students Bringing Issues to the Table,LEAP,2010-05-05,2010-09-04,Various Locations,"Students from ten New York City public middle schools, with two schools representing each borough, have transformed school lunchroom tables into personalized canvases and created colorful works of public art that touch upon critical social issues in their community and across the globe. The tables, which have been installed in ten community parks across the five boroughs, are a way of giving young teens the chance to voice their opinions and reach out to the public in hopes of inspiring social change through their art. This exhibition was created by LeAp&rsquo;s Public Art Program in cooperation with NYC Parks and marks the largest student exhibition in the history of NYC Parks and the first to span five boroughs. The program included visits with distinguished artists such as Tom Otterness, Christo, Chuck Close, and Vito Acconci, among many others. For 33 years, LeAp (Learning through an Expanded Art Program) has provided arts&ndash;based education to over two million students K-12 throughout New York City.<br><br>Artworks can be found through August at: Sheltering Arms Park and St. Nicholas Park in Manhattan; Fermi Playground and Irving Square Park in Brooklyn; Crotona Park and Claremont Park in the Bronx; Juniper Valley Park and Forest Park in Queens; and Silver Lake Park and Clove Lakes Park in Staten Island.<br><div><br></div><div>For more information visit the <a href=""http://leapnyc.org/"">LEAP website</a>.</div>",c,,,1
Whitney On Site: New Commissions Downtown,Guyton\Walker,2010-05-08,2010-06-23,820 Washington Street (at the Gansevoort Entrance to the High Line),"&#8203;The Whitney Museum of American Art is pleased to present the first in a series of commissioned works on the site of its future building. These installations will continue through October, allowing artists to respond to the dynamic urban context of the Meatpacking District and heralding plans to bring a downtown Whitney to the neighborhood. Guyton\Walker is a New York&ndash;based collaborative team comprised of Wade Guyton (b. 1972) and Kelley Walker (b. 1969).<br><br>Guyton\Walker&rsquo;s project involves wrapping the site&rsquo;s entire perimeter fence, a span of nearly 450 feet, with sheets of vinyl printed on both sides with brightly colored images of citrus fruits, bananas, and zebras, as well as bold graphic patterns, all of which are woven together digitally to form a kind of twenty-first century mural. A recurring motif of old-fashioned paint cans, recognizable through their metal handles, playfully captures the notion of the Whitney Museum bringing art for the first time to the site of its future facility. Circular holes will be cut at random intervals in the vinyl, providing pedestrians glimpses into the site, where the workings of the Friends of the High Line maintenance and operations team will be visible. Inside the fence, Guyton\Walker will adhere demountable vinyl decals printed with vivid patterns directly to the roofs and sides of some of the High Line maintenance trailers and to the paved area used for parking and plant staging. This festive intervention will activate and visually integrate the site as a whole, introducing playful disjunctions of scale and imagery that will act as a perfect complement to and analogy for one of New York&rsquo;s most vital and changing neighborhoods.<br>&nbsp;<br>For more information please visit the Whitney&rsquo;s <a href=""http://whitney.org/WhitneyOnSite"">website</a>.<br>",M,,,1
Cityscape: Surveying the Urban Biotope,,2010-05-02,2010-08-01,,"Curated by Alyson Baker and Marichris Ty, the show will explore the presence of nature in the fabric of urban life. Cityscape includes eleven new works by artists: Saul Becker, George Boorujy, William Cordova, David Kennedy Cutler, Lillian Gerson, Janelle Iglesias, Katherine McLeod, Ester Parteg&agrave;s, Zena Verda Pesta, Christine Howard Sandoval, and Mark Lawrence Stafford.<br><br>The introduction or invasion of plants and animals in the cityscape symbolizes a broad scope of conditions and dynamics - from far reaching social, political, economic and aesthetic issues to an individual's relationship with their immediate surroundings. Nature's presence in the urban environment can take many forms: green roofs, community gardens, city parks, corporate plazas; Peregrine Falcons nesting on 5th Avenue balconies; vast populations of rats and pigeons that have readily adapted to the habitat of busy streets; Ailanthus trees growing from crumbling buildings, abandoned construction sites, and cracks in the sidewalk. This range from invited and cultivated to invasive and insidious represents everything from the most innovative urban planning and a trend towards the greening of cities, to a symptom of and contributor to the decay of the built environment.<br><br>For more information, visit Socrates Sculpture Park&rsquo;s <a href=""http://www.socratessculpturepark.org/"">website</a>. <br><br><br>",Q,,,1
Key to the City,,2010-06-03,2010-09-06,"Times Square, Broadway Between 43rd & 44th streerts","&#8203;For centuries, the key to the city has been used to honor a city&rsquo;s heroes and visiting dignitaries. Now, artist Paul Ram&iacute;rez Jonas has created a Key to the City that is not only a symbolic award, but also a functional key&mdash;opening spaces across all five boroughs of New York City. This Key to the City is intended for everyday citizens, who will award one another the key for reasons large and small. Once in hand, the key launches a citywide exploration of backdoors, front gates, community gardens, graveyards, and museums that suggests that the city is a series of spaces that are either locked or unlocked.<br><br>Key to the City is presented by Creative Time in cooperation with the City of New York. For more information, visit the <a href=""http://creativetime.org/programs/archive/2010/keytothecity/"">Creative Time website</a>.",M,,,1
Manolo Valdes on Broadway,Manolo Valdes,2010-05-20,2011-01-23,"Broadway, Various locations","Manolo Valdes on Broadway includes sixteen bronze sculptures along Broadway from Columbus Circle to 166th Street. Each sculpture will include signage that displays mobile phone access numbers for an English and Spanish language audio tour with informative descriptions of the works.<br><br>Manolo Valdes is one of the most important and respected Spanish artists working today. Best known for his passion for past masters from Zurbaran to Velazquez, Matisse to Lichtenstein, Valdes uses their work ""as a pretext"" (""como pretexto"") to create an entirely new aesthetic object. For example, six massive sculptures entitled Reina Mariana, each over eight feet in height and weighing over two thousand pounds, depict Queen Mariana as immortalized by Velazquez. Four of these sculptures with their abstract and simplified forms will grace the famous city landmark, Columbus Circle, as well as two at the south entrance to the 72nd Street subway station. Also sited at the subway station is Odalisca, 2006, a sculpture whose subtle forms refer to works of Henri Matisse and Pablo Picasso. Another highlight of the exhibition is the series of six monumental bronzes &ndash; all over 12 feet in height &ndash; depicting female heads, their calm facial composure and structured equilibrium offset rhythmically by dynamic ornamental head-pieces. The exhibition will also include the New York debut of Valdes' two equestrian sculptures Dama a caballo V, 2008 and Caballero V, 2008, which were inspired by Velazquez's seventeenth-century portraits.<br><br><br>",M,,,1
Walk the Walk,Kate Gilmore,2010-05-10,2010-05-14,"Fountain Terrace, Bryant Park","Walk the Walk is a dynamic sculptural and performance&#8208;based artwork activated by six participants walking on the roof of a brightly painted structure. Set in a midtown Manhattan environment the artwork aims to transform the everyday world of the office workers and the spaces/cubicles they inhabit into a visual spectacle. Drawing attention to, and celebrating the mass amount of women that commute and work in the City, this installation questions the constraints we operate within.<br><br>The participants in the artwork will be a diverse group of women of different sizes and race. The only common feature will be their wardrobe: simple dresses and business shoes. Like an everyday office worker, these women will walk, march, and stomp for five workdays, 8:30 a.m. to 6:30 p.m. <br><br>Bryant Park is the ideal site for Walk the Walk. Surrounded by skyscrapers (containing countless cubicles), it is the epicenter of midtown Manhattan. To paraphrase the Bryant Park website: Bryant Park is an urban oasis where thousands of nature&#8208;starved office workers gather every day.<br><br>",M,,,1
